data_seed,regime,model,seed,fold,pr_auc
45,Suspect-added,Random Forest,2,0,0.8407816565702643
45,Suspect-added,Random Forest,2,1,0.8593345127253538
45,Suspect-added,Random Forest,2,2,0.8633321259212854
45,Suspect-added,Random Forest,2,3,0.8481529934213384
45,Suspect-added,Random Forest,2,4,0.843893274581884
45,Leaked (leakage-inclusive),Logistic Regression,0,0,0.9999887206664785
45,Leaked (leakage-inclusive),Logistic Regression,0,1,0.9999758850499483
45,Leaked (leakage-inclusive),Logistic Regression,0,2,0.9999935744726649
45,Leaked (leakage-inclusive),Logistic Regression,0,3,0.999969477851316
45,Leaked (leakage-inclusive),Logistic Regression,0,4,0.9999983833994524
45,Leaked (leakage-inclusive),Logistic Regression,1,0,0.9999983875024994
45,Leaked (leakage-inclusive),Logistic Regression,1,1,0.9999903392148259
45,Leaked (leakage-inclusive),Logistic Regression,1,2,0.9999951440228857
45,Leaked (leakage-inclusive),Logistic Regression,1,3,0.999955127073801
45,Leaked (leakage-inclusive),Logistic Regression,1,4,0.9999919497593133
45,Leaked (leakage-inclusive),Logistic Regression,2,0,0.9999790759681604
45,Leaked (leakage-inclusive),Logistic Regression,2,1,0.9999983875024994
45,Leaked (leakage-inclusive),Logistic Regression,2,2,0.9999967709019517
45,Leaked (leakage-inclusive),Logistic Regression,2,3,0.9999886981124557
45,Leaked (leakage-inclusive),Logistic Regression,2,4,0.9999630396591332
45,Leaked (leakage-inclusive),Random Forest,0,0,0.9999935540974436
45,Leaked (leakage-inclusive),Random Forest,0,1,0.9999806047399873
45,Leaked (leakage-inclusive),Random Forest,0,2,0.9999887978133332
45,Leaked (leakage-inclusive),Random Forest,0,3,0.9999807373591657
45,Leaked (leakage-inclusive),Random Forest,0,4,0.9999967647421609
45,Leaked (leakage-inclusive),Random Forest,1,0,1.0
45,Leaked (leakage-inclusive),Random Forest,1,1,0.9999919578721173
45,Leaked (leakage-inclusive),Random Forest,1,2,0.9999935581537669
45,Leaked (leakage-inclusive),Random Forest,1,3,0.9999694720205284
45,Leaked (leakage-inclusive),Random Forest,1,4,0.9999935602078972
45,Leaked (leakage-inclusive),Random Forest,2,0,0.9999919231153306
45,Leaked (leakage-inclusive),Random Forest,2,1,0.9999983875024994
45,Leaked (leakage-inclusive),Random Forest,2,2,1.0
45,Leaked (leakage-inclusive),Random Forest,2,3,0.9999806785178209
45,Leaked (leakage-inclusive),Random Forest,2,4,0.9999806925451475
